Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Mortgage Cost,state,Zipcode
ZCTA5 01001,63949,36540,17312,46.1,1025,1968,1506,MA,1001
ZCTA5 01002,61159,30847,30014,23.4,1280,1973,2330,MA,1002
ZCTA5 01003,2499,4378,11357,19.9,0,1974,0,MA,1003
ZCTA5 01005,67302,37464,5128,48.1,831,1973,1555,MA,1005
ZCTA5 01007,91191,41753,15005,42.3,909,1983,1884,MA,1007
ZCTA5 01008,76333,40146,1140,54,0,1962,1581,MA,1008
ZCTA5 01009,80714,35649,261,53.4,0,1964,1786,MA,1009
ZCTA5 01010,70063,36656,3658,46.8,703,1981,1880,MA,1010
ZCTA5 01011,76500,32417,1430,47.8,753,1957,1495,MA,1011
ZCTA5 01012,67321,38399,585,54.1,950,1961,1384,MA,1012
ZCTA5 01013,43808,25552,22733,35.7,754,1949,1466,MA,1013
ZCTA5 01020,60561,31081,30108,44.5,834,1957,1442,MA,1020
ZCTA5 01022,46488,26787,2586,33.6,1365,1958,1257,MA,1022
ZCTA5 01026,58438,32040,933,50.1,663,1958,1480,MA,1026
ZCTA5 01027,67119,37220,17818,45,877,1963,1680,MA,1027
ZCTA5 01028,87748,40984,16242,45.5,782,1967,1916,MA,1028
ZCTA5 01029,87727,41468,538,47.8,0,1963,1233,MA,1029
ZCTA5 01030,76000,38722,11384,47,826,1971,1667,MA,1030
ZCTA5 01031,38173,29001,1135,46.2,734,1940,1400,MA,1031
ZCTA5 01032,68750,38179,495,54.6,881,1954,1714,MA,1032
ZCTA5 01033,96979,45998,6322,47.5,716,1969,1875,MA,1033
ZCTA5 01034,87750,38136,2186,46.6,1125,1976,1573,MA,1034
ZCTA5 01035,74364,46151,5319,48.9,1165,1971,2250,MA,1035
ZCTA5 01036,91646,43369,5178,51.5,788,1966,1986,MA,1036
ZCTA5 01037,80556,37060,747,32.3,0,1981,1702,MA,1037
ZCTA5 01038,72045,40071,2734,49.9,940,1965,1729,MA,1038
ZCTA5 01039,94191,51111,1207,55,1027,1964,1769,MA,1039
ZCTA5 01040,40769,23931,40241,35.2,740,1947,1497,MA,1040
ZCTA5 01050,67750,34872,2438,45.8,791,1960,1525,MA,1050
ZCTA5 01053,60823,33144,1593,54.8,959,1981,1739,MA,1053
ZCTA5 01054,90978,50069,2001,47.5,1139,1973,2117,MA,1054
ZCTA5 01056,73458,33412,21291,44.1,825,1967,1765,MA,1056
ZCTA5 01057,83008,39550,8824,47.3,722,1973,1691,MA,1057
ZCTA5 01060,61798,38081,15948,35.1,1114,0,1992,MA,1060
ZCTA5 01062,75179,40428,10364,47.2,836,1959,1870,MA,1062
ZCTA5 01068,88571,38660,1833,49.3,942,1982,1919,MA,1068
ZCTA5 01069,63750,34502,8556,46.5,806,1967,1638,MA,1069
ZCTA5 01070,60000,41123,648,52,631,1969,1784,MA,1070
ZCTA5 01071,75592,34003,1318,45.6,788,1966,1651,MA,1071
ZCTA5 01072,80625,39439,1478,47.3,1179,1978,1829,MA,1072
