Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 02723,32275.0,19561.0,14333.0,38.5,584.0,1939.0,393740400.0,1722.0,25,02723
ZCTA5 02724,30688.0,19817.0,17173.0,41.0,559.0,1939.0,,1463.0,25,02724
ZCTA5 02725,63194.0,30714.0,2399.0,52.3,924.0,1959.0,173104600.0,1776.0,25,02725
ZCTA5 02726,72585.0,31952.0,15872.0,44.2,858.0,1960.0,1381643900.0,1793.0,25,02726
ZCTA5 02738,76503.0,47885.0,4979.0,48.4,929.0,1974.0,,2267.0,25,02738
ZCTA5 02739,86659.0,44067.0,6176.0,46.6,846.0,1958.0,,2166.0,25,02739
ZCTA5 02740,35887.0,21616.0,43797.0,37.6,639.0,1939.0,1524953300.0,1560.0,25,02740
ZCTA5 02743,67263.0,31615.0,10384.0,43.1,664.0,1969.0,,1575.0,25,02743
ZCTA5 02744,31709.0,19086.0,11210.0,36.6,581.0,1939.0,404773500.0,1798.0,25,02744
ZCTA5 02745,51328.0,25994.0,24731.0,41.4,692.0,1961.0,,1592.0,25,02745
ZCTA5 02746,26705.0,16535.0,14850.0,33.4,623.0,1939.0,,1557.0,25,02746
ZCTA5 02747,70919.0,25734.0,23024.0,33.1,807.0,1976.0,,1839.0,25,02747
ZCTA5 02748,64625.0,40450.0,12032.0,48.9,820.0,1963.0,,2016.0,25,02748
ZCTA5 02760,80957.0,36096.0,26986.0,39.0,819.0,1971.0,,2029.0,25,02760
ZCTA5 02762,91009.0,40540.0,8735.0,41.8,1061.0,1975.0,864001500.0,2226.0,25,02762
ZCTA5 02763,106875.0,43685.0,1877.0,39.6,1031.0,1966.0,190256000.0,1906.0,25,02763
ZCTA5 02764,78870.0,34277.0,3962.0,45.3,813.0,1972.0,388975200.0,2086.0,25,02764
ZCTA5 02766,91438.0,34004.0,19362.0,38.4,925.0,1980.0,,2157.0,25,02766
ZCTA5 02767,83125.0,35501.0,13765.0,41.6,1193.0,1980.0,1228832000.0,2238.0,25,02767
ZCTA5 02769,88868.0,37863.0,11835.0,43.1,808.0,1975.0,,2008.0,25,02769
ZCTA5 02770,97157.0,40368.0,5150.0,44.5,1125.0,1982.0,741844100.0,2144.0,25,02770
ZCTA5 02771,76826.0,37179.0,14371.0,45.5,881.0,1968.0,,1766.0,25,02771
ZCTA5 02777,73310.0,33679.0,16132.0,45.7,805.0,1965.0,,1717.0,25,02777
ZCTA5 02779,86288.0,34276.0,6547.0,40.6,-666666666.0,1986.0,,2139.0,25,02779
ZCTA5 02780,50653.0,26075.0,49836.0,40.5,818.0,1958.0,2860638600.0,1728.0,25,02780
ZCTA5 02790,79697.0,36013.0,16016.0,45.9,815.0,1971.0,2070626900.0,1802.0,25,02790
ZCTA5 02791,91029.0,69527.0,177.0,65.2,-666666666.0,1962.0,,1737.0,25,02791
ZCTA5 02802,48495.0,30229.0,1079.0,28.9,695.0,1940.0,,1873.0,44,02802
ZCTA5 02804,71439.0,34722.0,2228.0,53.0,541.0,1963.0,192638600.0,1489.0,44,02804
ZCTA5 02806,108776.0,55429.0,16280.0,46.1,1190.0,1956.0,2683856800.0,2422.0,44,02806
ZCTA5 02807,84750.0,43880.0,906.0,55.4,733.0,1973.0,,2565.0,44,02807
ZCTA5 02808,68958.0,27969.0,2228.0,38.0,690.0,1978.0,,1792.0,44,02808
ZCTA5 02809,62493.0,30445.0,22364.0,42.0,826.0,1962.0,,2029.0,44,02809
ZCTA5 02812,112901.0,38918.0,1669.0,40.5,-666666666.0,1987.0,,2420.0,44,02812
ZCTA5 02813,74826.0,36878.0,7772.0,47.4,980.0,1978.0,,1806.0,44,02813
ZCTA5 02814,82896.0,33308.0,7328.0,46.5,673.0,1971.0,679330500.0,1940.0,44,02814
ZCTA5 02815,,65686.0,130.0,41.6,-666666666.0,1988.0,20950000.0,2557.0,44,02815
ZCTA5 02816,65521.0,32261.0,32695.0,44.2,794.0,1971.0,2342231000.0,1736.0,44,02816
ZCTA5 02817,85942.0,35842.0,6117.0,42.0,1231.0,1989.0,467281400.0,2080.0,44,02817
ZCTA5 02818,84409.0,55630.0,18065.0,45.5,916.0,1968.0,,2500.0,44,02818
ZCTA5 02822,83465.0,35786.0,6470.0,42.5,638.0,1983.0,608114100.0,1950.0,44,02822
ZCTA5 02825,76408.0,37936.0,5235.0,49.4,915.0,1968.0,524359000.0,1992.0,44,02825
ZCTA5 02826,,31068.0,690.0,45.4,812.0,1939.0,55315000.0,1409.0,44,02826
ZCTA5 02827,96071.0,37760.0,2033.0,48.9,1285.0,1975.0,195832500.0,2116.0,44,02827
ZCTA5 02828,73214.0,36455.0,7492.0,48.7,904.0,1971.0,645488100.0,1858.0,44,02828
ZCTA5 02830,62904.0,35365.0,6314.0,45.0,762.0,1970.0,,1816.0,44,02830
ZCTA5 02831,86696.0,40524.0,3191.0,47.3,790.0,1977.0,,1956.0,44,02831
ZCTA5 02832,71042.0,33119.0,5006.0,45.0,824.0,1978.0,,1938.0,44,02832
ZCTA5 02833,63229.0,34687.0,625.0,59.2,,1982.0,53743000.0,1685.0,44,02833
ZCTA5 02835,95175.0,53845.0,5464.0,49.6,1431.0,1968.0,,2261.0,44,02835
ZCTA5 02836,,41490.0,93.0,34.7,-666666666.0,1939.0,,2121.0,44,02836
ZCTA5 02837,78370.0,48787.0,3504.0,52.2,841.0,1964.0,,1941.0,44,02837
ZCTA5 02838,58226.0,34243.0,3878.0,37.8,817.0,1946.0,,1645.0,44,02838
ZCTA5 02839,61023.0,30058.0,1445.0,45.6,870.0,1979.0,88647800.0,1867.0,44,02839
ZCTA5 02840,57275.0,39953.0,23171.0,37.8,925.0,1939.0,,2113.0,44,02840
ZCTA5 02841,-666666666.0,40989.0,1293.0,26.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44,02841
ZCTA5 02842,64397.0,34330.0,16052.0,41.0,1145.0,1967.0,1338782400.0,2139.0,44,02842
ZCTA5 02852,75746.0,37979.0,22358.0,43.7,866.0,1969.0,2148432500.0,2043.0,44,02852
ZCTA5 02857,82772.0,41732.0,9672.0,46.2,725.0,1967.0,,1992.0,44,02857
ZCTA5 02858,90583.0,53311.0,662.0,56.1,965.0,1947.0,,2306.0,44,02858
ZCTA5 02859,61204.0,28811.0,7059.0,45.1,786.0,1951.0,,1685.0,44,02859
ZCTA5 02860,35953.0,20473.0,45372.0,33.9,685.0,1939.0,1083417500.0,1637.0,44,02860
ZCTA5 02861,54700.0,24674.0,26225.0,39.9,807.0,1948.0,1076694300.0,1544.0,44,02861
ZCTA5 02863,29108.0,14026.0,19378.0,28.4,669.0,1939.0,248526200.0,1644.0,44,02863
ZCTA5 02864,75362.0,37412.0,34003.0,43.7,755.0,1967.0,,1866.0,44,02864
